Churn,Contract,Dependents,DeviceProtection,InternetService,MonthlyCharges,MultipleLines,OnlineBackup,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingMovies,StreamingTV,TechSupport,TotalCharges,customerID,gender,tenure
No,Two year,Yes,Yes,No,60.76,No,No,No,No,No,Bank transfer,No,1,No internet service,No,No,3261.48,ID0,Female,39
No,Month-to-month,Yes,No,DSL,42.06,Yes,No internet service,Yes,Yes,No,Bank transfer,Yes,0,Yes,No,Yes,2955.15,ID1,Female,34
No,Two year,Yes,No internet service,Fiber optic,59.63,No,No,Yes,No,Yes,Credit card,No,0,Yes,No,No internet service,1585.35,ID2,Female,64
Yes,Month-to-month,No,No internet service,Fiber optic,42.5,No phone service,No,No,No,Yes,Electronic check,No,0,No,No,Yes,2239.17,ID3,Female,23
No,Two year,No,No internet service,No,94.05,No,No internet service,No internet service,Yes,Yes,Mailed check,Yes,1,No,Yes,No internet service,6293.46,ID4,Male,70
No,One year,Yes,Yes,DSL,60.51,No,No,No internet service,Yes,No,Credit card,Yes,0,No internet service,Yes,No,3981.2,ID5,Female,39
Yes,One year,Yes,Yes,Fiber optic,38.28,No,No,No,Yes,No,Mailed check,No,0,No internet service,Yes,No internet service,8078.6,ID6,Male,7
Yes,Month-to-month,Yes,No internet service,Fiber optic,81.29,No,No internet service,No,No,Yes,Bank transfer,No,1,No internet service,No,Yes,5263.2,ID7,Female,70
No,Two year,No,No,Fiber optic,24.99,No phone service,No internet service,Yes,No,Yes,Electronic check,No,1,No,No,No,7164.2,ID8,Male,40
No,Month-to-month,Yes,Yes,DSL,52.71,No,No,No internet service,Yes,Yes,Mailed check,Yes,1,No,No internet service,Yes,5759.54,ID9,Female,52
Yes,Two year,Yes,No internet service,Fiber optic,90.6,No,Yes,Yes,Yes,Yes,Electronic check,Yes,0,No internet service,Yes,No,1284.25,ID10,Female,4
No,One year,Yes,No,DSL,65.2,No,No internet service,Yes,Yes,No,Credit card,Yes,0,No internet service,No,No internet service,8452.48,ID11,Female,1
No,Two year,No,No,No,57.76,Yes,Yes,No,No,No,Mailed check,Yes,0,No,No,No internet service,1380.88,ID12,Female,35
No,One year,No,Yes,No,64.41,No phone service,No internet service,No,Yes,No,Bank transfer,No,1,Yes,No,Yes,4322.87,ID13,Male,63
No,One year,No,Yes,DSL,27.89,No,No,Yes,Yes,Yes,Bank transfer,Yes,1,No internet service,No internet service,Yes,6382.58,ID14,Male,32
No,Month-to-month,No,No internet service,DSL,82.9,Yes,No,No,Yes,Yes,Mailed check,No,0,No,Yes,No,8542.78,ID15,Male,51
No,One year,No,No,DSL,64.09,Yes,No,No,No,No,Bank transfer,Yes,1,Yes,Yes,Yes,7951.17,ID16,Female,23
No,Month-to-month,Yes,Yes,No,110.22,No,No,No internet service,No,Yes,Mailed check,Yes,1,No,Yes,No internet service,7127.56,ID17,Male,62
Yes,One year,Yes,No,No,60.92,No,No,No internet service,No,No,Credit card,Yes,1,No internet service,No,No internet service,1219.16,ID18,Male,21
No,Month-to-month,Yes,Yes,Fiber optic,62.0,No,Yes,Yes,Yes,Yes,Mailed check,No,1,No,Yes,Yes,2866.29,ID19,Female,62
No,Month-to-month,No,Yes,No,101.7,No,Yes,Yes,Yes,Yes,Mailed check,No,0,No,No internet service,Yes,1365.61,ID20,Male,32
No,Two year,Yes,Yes,Fiber optic,94.16,No phone service,No,Yes,No,No,Electronic check,Yes,0,No,Yes,No,5267.29,ID21,Female,35
No,One year,Yes,Yes,Fiber optic,31.38,Yes,No internet service,No,Yes,No,Credit card,Yes,1,Yes,No,No,4339.14,ID22,Female,41
No,Month-to-month,No,No,Fiber optic,115.47,No phone service,Yes,Yes,No,Yes,Electronic check,Yes,1,No internet service,No internet service,No internet service,1556.08,ID23,Female,57
No,Two year,No,Yes,Fiber optic,108.34,Yes,No internet service,No internet service,Yes,Yes,Mailed check,No,0,No,No internet service,No,799.73,ID24,Female,18
No,Two year,Yes,No internet service,DSL,107.37,No,No internet service,No,No,No,Electronic check,Yes,0,Yes,No internet service,Yes,8361.07,ID25,Female,10
Yes,Month-to-month,No,No,DSL,68.93,No,Yes,No internet service,Yes,No,Credit card,No,0,Yes,Yes,Yes,139.09,ID26,Female,54
Yes,Two year,Yes,Yes,Fiber optic,59.22,No,No internet service,Yes,Yes,No,Bank transfer,No,1,No,No internet service,No internet service,4410.77,ID27,Male,21
No,Month-to-month,Yes,Yes,DSL,19.97,No phone service,No internet service,Yes,Yes,Yes,Electronic check,Yes,0,No internet service,No,No internet service,8564.89,ID28,Male,55
Yes,Two year,No,Yes,No,75.17,Yes,No,Yes,No,No,Mailed check,Yes,0,No internet service,No,No internet service,7076.5,ID29,Male,36
Yes,One year,No,No,No,107.13,Yes,Yes,No internet service,No,No,Mailed check,No,0,No,Yes,Yes,6510.92,ID30,Female,71
No,One year,Yes,Yes,DSL,51.58,No phone service,No,No internet service,No,Yes,Mailed check,No,0,No,No,Yes,2997.58,ID31,Female,67
Yes,Month-to-month,Yes,Yes,No,116.39,No phone service,Yes,Yes,Yes,Yes,Credit card,No,0,No,No internet service,No internet service,2347.95,ID32,Male,29
Yes,Month-to-month,Yes,No internet service,DSL,23.93,No phone service,Yes,No,No,No,Mailed check,Yes,0,No,No internet service,No,2716.5,ID33,Male,22
No,Month-to-month,No,No,DSL,57.69,No phone service,No internet service,Yes,No,No,Mailed check,No,0,Yes,No internet service,No,600.01,ID34,Male,15
Yes,Two year,Yes,Yes,DSL,37.12,No phone service,Yes,Yes,No,No,Credit card,No,0,Yes,No,No internet service,8023.88,ID35,Male,54
Yes,Two year,No,No,DSL,107.79,No phone service,Yes,Yes,No,Yes,Electronic check,No,0,No internet service,No,No internet service,5726.5,ID36,Male,4
Yes,Two year,Yes,No internet service,No,54.01,No,No,No,No,No,Bank transfer,Yes,0,No internet service,No,No,5473.26,ID37,Male,9
Yes,One year,Yes,Yes,DSL,99.33,Yes,No,No internet service,No,No,Credit card,Yes,0,Yes,No,No,6671.08,ID38,Female,31
Yes,One year,Yes,Yes,DSL,106.92,No phone service,No,No internet service,No,Yes,Mailed check,No,0,No,No,No internet service,2493.83,ID39,Female,27
No,One year,No,Yes,DSL,107.58,No,No internet service,No internet service,Yes,No,Mailed check,Yes,0,No,No,No internet service,2234.06,ID40,Male,69
Yes,One year,Yes,No internet service,No,76.97,Yes,Yes,No internet service,Yes,No,Bank transfer,No,0,No,Yes,No,24.09,ID41,Female,70
No,Month-to-month,Yes,No internet service,No,84.15,No,No,Yes,No,No,Bank transfer,No,1,Yes,No,No internet service,5403.63,ID42,Male,42
