customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID0,Male,0,Yes,No,20,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,One year,No,Mailed check,62.14,5464.27,Yes
ID1,Male,1,No,Yes,2,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No,No internet service,Two year,Yes,Bank transfer,45.44,6353.33,Yes
ID2,Female,0,Yes,No,48,No,No phone service,Fiber optic,No internet service,No,No internet service,No,Yes,No,One year,Yes,Bank transfer,77.15,4388.78,Yes
ID3,Female,0,Yes,Yes,52,No,No phone service,No,Yes,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer,77.27,4134.4,Yes
ID4,Female,0,No,No,10,No,No phone service,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,96.6,8492.06,Yes
ID5,Male,0,Yes,No,44,No,No,Fiber optic,No,Yes,No internet service,No internet service,No,Yes,Two year,Yes,Electronic check,41.16,510.81,No
ID6,Male,1,Yes,Yes,63,Yes,Yes,DSL,No internet service,No internet service,No,No,No,Yes,Two year,No,Bank transfer,35.79,4164.02,No
ID7,Male,0,Yes,No,55,No,No phone service,No,Yes,Yes,Yes,Yes,No internet service,No internet service,Two year,Yes,Credit card,38.03,3094.27,Yes
ID8,Female,1,Yes,No,30,Yes,No,DSL,No,Yes,No internet service,Yes,No,No,Two year,Yes,Credit card,24.47,3056.51,Yes
ID9,Female,1,Yes,Yes,6,No,Yes,No,No,No internet service,No internet service,No,No,No,Two year,Yes,Electronic check,74.37,7430.93,No
ID10,Female,1,No,No,62,No,No,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer,28.51,4473.98,No
ID11,Female,0,No,No,57,No,No phone service,DSL,No internet service,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Credit card,80.07,3429.91,No
ID12,Male,1,Yes,Yes,49,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No internet service,Two year,Yes,Credit card,102.18,3415.43,No
ID13,Male,1,Yes,No,30,No,No,DSL,No internet service,No,Yes,Yes,No,No internet service,Two year,No,Electronic check,68.87,2577.13,Yes
ID14,Male,0,No,Yes,60,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No,Yes,No internet service,Month-to-month,Yes,Credit card,19.75,504.3,No
ID15,Male,1,Yes,Yes,45,No,Yes,No,Yes,No,No internet service,No,No internet service,No,Two year,No,Electronic check,18.82,1057.07,No
ID16,Female,1,Yes,No,70,Yes,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card,89.9,8440.57,Yes
ID17,Female,1,No,Yes,18,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card,114.68,2133.54,Yes
ID18,Female,1,Yes,Yes,52,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Credit card,61.46,8375.55,No
ID19,Male,1,Yes,No,12,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,64.84,1390.46,Yes
ID20,Male,0,Yes,No,64,No,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No,One year,Yes,Credit card,97.33,2508.6,Yes
ID21,Female,1,Yes,No,10,No,No,No,No internet service,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,26.61,4817.12,Yes
ID22,Male,1,No,Yes,70,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No,No,Two year,No,Electronic check,49.64,4447.66,No
ID23,Female,1,No,No,69,No,No phone service,No,Yes,No,Yes,No,Yes,No internet service,Two year,Yes,Mailed check,61.11,5461.86,No
ID24,Female,0,No,No,35,No,Yes,DSL,Yes,No internet service,No internet service,No,No,No,One year,No,Mailed check,90.76,1362.13,Yes
ID25,Male,0,No,Yes,67,No,No,Fiber optic,Yes,No,No,No internet service,Yes,No internet service,One year,No,Bank transfer,48.05,5352.82,Yes
ID26,Female,0,No,No,22,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,86.54,7930.94,Yes
ID27,Male,1,No,No,71,Yes,No,Fiber optic,No,No,No internet service,No internet service,Yes,No,Two year,Yes,Bank transfer,23.08,1667.3,Yes
ID28,Female,0,Yes,No,25,No,No phone service,DSL,No internet service,Yes,No,No internet service,No internet service,Yes,Two year,No,Credit card,22.8,47.05,No
ID29,Male,0,Yes,Yes,28,Yes,Yes,No,No internet service,No,No,No internet service,No internet service,Yes,One year,Yes,Bank transfer,96.25,6581.04,No
ID30,Female,1,Yes,Yes,57,No,Yes,DSL,Yes,No internet service,No,No,Yes,Yes,Month-to-month,No,Electronic check,77.58,8139.7,Yes
